field,category,platform,type,channel,provider,data_needed,enrichment,enrichment requirements
ProcessName,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-NTLM/Operational,Microsoft-Windows-NTLM,DN_0082_8002_ntlm_server_blocked_audit,,
ClientLUID,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-NTLM/Operational,Microsoft-Windows-NTLM,DN_0082_8002_ntlm_server_blocked_audit,,
ClientUserName,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-NTLM/Operational,Microsoft-Windows-NTLM,DN_0082_8002_ntlm_server_blocked_audit,,
ClientDomainName,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-NTLM/Operational,Microsoft-Windows-NTLM,DN_0082_8002_ntlm_server_blocked_audit,,
MechanismOID,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-NTLM/Operational,Microsoft-Windows-NTLM,DN_0082_8002_ntlm_server_blocked_audit,,
Hostname,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
UserName,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
Daemon,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
Message,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
pam_service,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
pam_user,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
pam_unix,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
pam_tty,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
pam_ruser,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
pam_rhost,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
pam_type,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
pam_authtok,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
pam_message,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
uid,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
logname,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
uid,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
euid,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
tty,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
ruser,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
rhost,OS Logs,Linux,auth,auth.log,pam,DN_0095_linux_auth_pam_log,,
EventID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
Computer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
Hostname,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
SubjectUserSid,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
SubjectUserName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
SubjectDomainName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
SubjectLogonId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
ObjectServer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
ObjectType,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
ObjectName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
HandleId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
TransactionId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
AccessList,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
AccessReason,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
AccessMask,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
PrivilegeList,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
RestrictedSidCount,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
ProcessId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
ProcessName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
ResourceAttributes,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0058_4656_handle_to_an_object_was_requested,,
EventID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0028_4794_directory_services_restore_mode_admin_password_set,,
Computer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0028_4794_directory_services_restore_mode_admin_password_set,,
Hostname,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0028_4794_directory_services_restore_mode_admin_password_set,,
SubjectUserSid,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0028_4794_directory_services_restore_mode_admin_password_set,,
SubjectUserName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0028_4794_directory_services_restore_mode_admin_password_set,,
SubjectDomainName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0028_4794_directory_services_restore_mode_admin_password_set,,
SubjectLogonId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0028_4794_directory_services_restore_mode_admin_password_set,,
Workstation,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0028_4794_directory_services_restore_mode_admin_password_set,,
Status,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0028_4794_directory_services_restore_mode_admin_password_set,,
EventID,OS Logs,Windows,Windows Log,System,Microsoft-Windows-Kernel-General,DN_0083_16_access_history_in_hive_was_cleared,,
Hostname,OS Logs,Windows,Windows Log,System,Microsoft-Windows-Kernel-General,DN_0083_16_access_history_in_hive_was_cleared,,
Computer,OS Logs,Windows,Windows Log,System,Microsoft-Windows-Kernel-General,DN_0083_16_access_history_in_hive_was_cleared,,
HiveNameLength,OS Logs,Windows,Windows Log,System,Microsoft-Windows-Kernel-General,DN_0083_16_access_history_in_hive_was_cleared,,
HiveName,OS Logs,Windows,Windows Log,System,Microsoft-Windows-Kernel-General,DN_0083_16_access_history_in_hive_was_cleared,,
KeysUpdated,OS Logs,Windows,Windows Log,System,Microsoft-Windows-Kernel-General,DN_0083_16_access_history_in_hive_was_cleared,,
DirtyPages,OS Logs,Windows,Windows Log,System,Microsoft-Windows-Kernel-General,DN_0083_16_access_history_in_hive_was_cleared,,
EventID,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
Computer,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
Hostname,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
UtcTime,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
SourceProcessGuid,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
SourceProcessId,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
SourceImage,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
TargetProcessGuid,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
TargetProcessId,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
TargetImage,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
NewThreadId,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
StartAddress,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
StartModule,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
StartFunction,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0012_8_windows_sysmon_CreateRemoteThread,,
EventID,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
Computer,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
Hostname,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
Namespace,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
ESS,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
Consumer,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
PossibleCause,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
CreatorSID,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
EventNamespace,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
Query,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
QueryLanguage,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
EventFilter,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0081_5861_wmi_activity,,
EventID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
ComputerName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
Computer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
Hostname,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
SubjectUserSid,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
SubjectUserName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
SubjectDomainName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
SubjectLogonId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
PreviousTime,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
NewTime,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
ProcessId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
ProcessName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0088_4616_system_time_was_changed,,
Hostname,OS Logs,Linux,daemon,daemon.log,many,DN_0097_linux_daemon_log,,
Daemon,OS Logs,Linux,daemon,daemon.log,many,DN_0097_linux_daemon_log,,
Program,OS Logs,Linux,daemon,daemon.log,many,DN_0097_linux_daemon_log,,
Message,OS Logs,Linux,daemon,daemon.log,many,DN_0097_linux_daemon_log,,
EventID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
ComputerName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
Computer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
Hostname,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
MemberName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
MemberSid,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
TargetUserName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
TargetDomainName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
TargetSid,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
SubjectUserSid,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
SubjectUserName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
SubjectDomainName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
SubjectLogonId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
PrivilegeList,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0068_4728_member_was_added_to_security_enabled_global_group,,
EventID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Eventlog,DN_0038_1102_the_audit_log_was_cleared,,
Hostname,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Eventlog,DN_0038_1102_the_audit_log_was_cleared,,
Computer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Eventlog,DN_0038_1102_the_audit_log_was_cleared,,
SubjectUserSid,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Eventlog,DN_0038_1102_the_audit_log_was_cleared,,
SubjectUserName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Eventlog,DN_0038_1102_the_audit_log_was_cleared,,
SubjectDomainName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Eventlog,DN_0038_1102_the_audit_log_was_cleared,,
SubjectLogonId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Eventlog,DN_0038_1102_the_audit_log_was_cleared,,
EventID,OS Logs,Windows,Applications and Services Logs,Application,Microsoft-Windows-Backup,DN_0039_524_system_catalog_has_been_deleted,,
ComputerName,OS Logs,Windows,Applications and Services Logs,Application,Microsoft-Windows-Backup,DN_0039_524_system_catalog_has_been_deleted,,
Computer,OS Logs,Windows,Applications and Services Logs,Application,Microsoft-Windows-Backup,DN_0039_524_system_catalog_has_been_deleted,,
Hostname,OS Logs,Windows,Applications and Services Logs,Application,Microsoft-Windows-Backup,DN_0039_524_system_catalog_has_been_deleted,,
EventID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
ComputerName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
Computer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
Hostname,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
Subject,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
SecurityID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
AccountName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
AccountDomain,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
LogonID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
TargetAccount,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
SecurityID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
AccountName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
AccountDomain,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
SourceAccount,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
SecurityID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
AccountName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
AdditionalInformation,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
Privileges,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
SIDList,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0074_4765_sid_history_was_added_to_an_account,,
timestamp,OS Logs,Linux,modsecurity,modsecurity,modsecurity,DN_0091_linux_modsecurity_log,,
hostname,OS Logs,Linux,modsecurity,modsecurity,modsecurity,DN_0091_linux_modsecurity_log,,
client,OS Logs,Linux,modsecurity,modsecurity,modsecurity,DN_0091_linux_modsecurity_log,,
uri,OS Logs,Linux,modsecurity,modsecurity,modsecurity,DN_0091_linux_modsecurity_log,,
EventID,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
Computer,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
Hostname,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
UtcTime,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
EventType,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
Operation,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
User,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
Name,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
Type,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
Destination,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
RuleName,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-Sysmon/Operational,Microsoft-Windows-Sysmon,DN_0023_20_windows_sysmon_WmiEvent,,
EventID,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0080_5859_wmi_activity,,
Computer,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0080_5859_wmi_activity,,
Hostname,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0080_5859_wmi_activity,,
NamespaceName,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0080_5859_wmi_activity,,
Query,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0080_5859_wmi_activity,,
ProcessID,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0080_5859_wmi_activity,,
Provider,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0080_5859_wmi_activity,,
queryid,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0080_5859_wmi_activity,,
PossibleCause,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0080_5859_wmi_activity,,
CorrelationActivityID,OS Logs,Windows,Applications and Services Logs,Microsoft-Windows-WMI-Activity/Operational,Microsoft-Windows-WMI-Activity,DN_0080_5859_wmi_activity,,
EventID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
ComputerName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
Computer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
Hostname,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
UserName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
Domain,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
LogonID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
LogonType,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
LogonProcess,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
AuthenticationPackage,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
WorkstationName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
LogonGUID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
CallerUserName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
CallerDomain,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
CallerLogonID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
CallerProcessID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
TransitedServices,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
SourceNetworkAddress,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
SourcePort,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0040_528_user_successfully_logged_on_to_a_computer,,
EventID,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0066_4704_user_right_was_assigned,,
Computer,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0066_4704_user_right_was_assigned,,
Hostname,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0066_4704_user_right_was_assigned,,
SubjectUserSid,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0066_4704_user_right_was_assigned,,
SubjectUserName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0066_4704_user_right_was_assigned,,
SubjectDomainName,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0066_4704_user_right_was_assigned,,
SubjectLogonId,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0066_4704_user_right_was_assigned,,
TargetSid,OS Logs,Windows,Windows Log,Security,Microsoft-Windows-Security-Auditing,DN_0066_4704_user_right_was_assigned,,
